Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Attachment,Custom field (Approval History),Custom field (Build Manager),Custom field (Build Manager Responded),Custom field (Build Manager Response),Custom field (Completion Criteria),Custom field (Configuration Notes),Custom field (Control Number),Custom field (Cyber Reviewer KB Comment),Custom field (Cyber Reviewer Responded),Custom field (Cyber Reviewer Response),Custom field (Dependency Needed From),Custom field (Dependency Owed To),Custom field (Dev Team Approval),Custom field (Developer),Custom field (Document Number),Custom field (Driver Response),Custom field (ECD),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Epic Workflow Status),Custom field (Flagged),Custom field (GitLab URL IP Address),Custom field (Hardware Reviewer KB Comment),Custom field (Hardware Reviewer Responded),Custom field (Hardware Reviewer Response),Custom field (Issue Use),Custom field (Issue Use),Custom field (JQL Query),Custom field (Kickback Count),Custom field (Kickback Message),Custom field (Last Comment),Custom field (MR ID),Custom field (Milestone Entrance Criteria),Custom field (My Last Comment),Custom field (Network Reviewer),Custom field (Network Reviewer KB Comment),Custom field (Network Reviewer Responded),Custom field (Network Reviewer Response),Custom field (Original story points),Custom field (PTR ID),Custom field (Parent Link),Custom field (Peer Reviewer),Custom field (Peer Reviewer 2),Custom field (Peer Reviewer 3),Custom field (Peer Reviewer 3 Alloc (SP)),Custom field (Peer Reviewer 4),Custom field (Peer Reviewer 4 Alloc (SP)),Custom field (Peer Reviewer 5),Custom field (Project Engineer KB Comment),Custom field (Project Engineer Responded),Custom field (Project Engineer Response),Custom field (Project Lead KB Comment),Custom field (Project Lead Responded),Custom field (Project Lead Response),Custom field (Rank),Custom field (Reviewer 1 KB Comment),Custom field (Reviewer 1 Responded),Custom field (Reviewer 1 Response),Custom field (Reviewer 2 KB Comment),Custom field (Reviewer 2 Responded),Custom field (Reviewer 2 Response),Custom field (Reviewer 3 KB Comment),Custom field (Reviewer 3 Responded),Custom field (Reviewer 3 Response),Custom field (Reviewer 4 KB Comment),Custom field (Reviewer 4 Responded),Custom field (Reviewer 4 Response),Custom field (Reviewer 5 KB Comment),Custom field (Reviewer 5 Responded),Custom field (Reviewer 5 Response),Custom field (Risk),Custom field (Safety Reviewer KB Comment),Custom field (Safety Reviewer Responded),Custom field (Safety Reviewer Response),Custom field (Software Reviewer KB Comment),Custom field (Software Reviewer Responded),Custom field (Software Reviewer Response),Sprint,Sprint,Sprint,Custom field (Sr. Peer Reviewer),Custom field (Sr. Peer Reviewer KB Comment),Custom field (Sr. Peer Reviewer Response),Custom field (Sr. Reviewer Responded),Custom field (Story Points),Custom field (Systems Reviewer KB Comment),Custom field (Systems Reviewer Responded),Custom field (Systems Reviewer Response),Custom field (Systems Team Approval),Custom field (Target Progress),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Reviewer KB Comment),Custom field (Test Reviewer Responded),Custom field (Test Reviewer Response),Custom field (Test Setup),Custom field (Test Team Approval),Custom field (Time Spent By User),Custom field (Time Spent Total (hrs)),Custom field (Total Time Estimated (hrs)),Custom field (UUT),Custom field (Verification Method),Custom field (Visual Verifier Response),Custom field (co-Assignee),Custom field (co-Developer),Custom field (ΣBurnup (%)),Custom field (ΣDone SPs),Custom field (ΣIn Progress SPs),Custom field (ΣOrigEst (Hrs)),Custom field (ΣOriginal SPs),Custom field (ΣPercent Complete (%)),Custom field (ΣPercent Complete (%) (Hrs)),Custom field (ΣPlanned SPs),Custom field (ΣRemaining SPs),Custom field (ΣTime Estimate (Hrs)),Custom field (ΣTime Remaining (Hrs)),Custom field (ΣTime Spent (Hrs)),Comment,Comment,Comment,Comment,Comment,Comment
STIG-MANAGER 1.10.13,SSWCYBER-2108,86522,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,jcabral7,jcabral7,jcabral7,09/Oct/25 11:18 AM,09/Oct/25 11:19 AM,18/Sep/26 3:20 PM,09/Oct/25 11:19 AM,,PI 14-C,,,,,,SSW PHC Cyber ,,,,0,"Upgrade to STIGMAN 1.10.13, re upload stig checklist to a new container to fix bug issue of bad CORA score.",,jcabral7,,,,";09/Oct/25 11:19 AM;jcabral7;10800",,,,,,,14400,3600,10800,75%,14400,3600,10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcabral7,,,,,SSWCYBER-2093,,,Done,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i07j40:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 85,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
Provide Original Story Points to Epics through PI21: Part 2,SSWCYBER-2097,86481,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,ereyburn,ereyburn,ereyburn,08/Oct/25 2:40 PM,16/Oct/25 2:28 PM,18/Sep/26 3:20 PM,16/Oct/25 2:28 PM,,PI 14-C,,,,,,SSW PHC Cyber ,,,,0,"Summary: Does +not+ need to be verbatim with the sticky note. I would recommend writing your jira key on the sticky notes as you create the epics for ease of cross-referencing.

Fixversion: Include the +PI number+ (and +SSW CDR Entrance Criteria+ for sticky notes with a red dot)

Parent link: Epics must be children of your respective initiative plugged into the CDR Milestone portfolio issue SSWSYSPM-2185

Original story points: Absolutely needed for the sticky notes with a red dot (this gives us fidelity on the CDR milestone but GIGO…garbage in = garbage out…give the value some thought, use empiricism when possible). If you need time, you can have until the end of Sprint 84. This will be needed for metrics to be presented at the PI13 executive session.

 

+Shared goal for Sprint 84+ (last sprint of PI13) which starts by end of day tomorrow: For stickies with a yellow dot, there should be a link to another epic. If linking a predecessor to a successor, use link type “Blocks”. If linking a successor to a predecessor, use link type “is blocked by”. This will give us a dependency report in Jira plan and allow critical path analysis.

Some of your stickies may have represented a multi-PI effort and placed in the PI when the effort would be complete. If you had any of these examples on your team, ensure to also create the Part 1 and Part 2 epics if the Sticky represented a Part 3. Also link those epics together; Part 1 blocks part 2 blocks part 3.",,ereyburn,,,,"Completed story points for all epics except some of the STIG remediation epics.;16/Oct/25 2:28 PM;ereyburn;3600",,,,,,,5760,2160,3600,62%,5760,2160,3600,,,,,,,,,,,,,SSWCYBER-2049,,,,,,,,,,,,,,,,,,,,,,,,,,,ereyburn,,,,,SSWCYBER-1981,,,Done,,,,,,SOS,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i07iw8:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 85,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
PI 14: Cyber - D454 Network Segment Architecture Design and Configuration ,SSWCYBER-2093,86475,Epic,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,High,Done,jcabral7,jcabral7,dcatapan,08/Oct/25 2:19 PM,27/Mar/26 4:53 AM,18/Sep/26 3:20 PM,08/Jan/26 9:33 PM,,PI 14-C,,,,,,SSW PHC Cyber ,,,06/Jan/25 12:00 AM,0,"*Summary:*

Efforts for designing and implementing the architecture 

*Project Impact:*
What Problem Does this Solve:


How does this fit into the larger project:


*Implementation Overview:*
High Level Overview:


Key Components/Docs/Specs:

*Risks/Considerations/Dependencies*


*Completion Criteria:*


Documentation


Review:
",,dcatapan,,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD,,,,,,,,,,06/Jan/25 12:00 AM,ghx-label-6,,PI 14: Cyber - D454 Network Segment Architecture Design and Configuration ,Done,,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,15.0,,,,,,,,,,,,,,,,"1|i07ivs:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,6.0,0.0,,,100.0,78.1,6.0,0.0,48.0,10.5,37.5,,,,,,
Setup Automated STIG Scanning Through AAP,SSWCYBER-2092,86471,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,High,Done,dcatapan,dcatapan,dcatapan,08/Oct/25 2:02 PM,05/Nov/25 10:25 AM,18/Sep/26 3:20 PM,30/Oct/25 9:12 AM,,PI 14-C,,,,,,SSW PHC Cyber ,,,,0,"setup automated stig playbook for stig scanning on server 9, having results output to stigman.",,dcatapan,,,,"Imported stig playbook, did ansible configuration including setting up: organization, hosts, inventory, project, ansible settings. Working on fixing some issues with playbook not running successfully.;28/Oct/25 6:17 AM;dcatapan;10800","Made upgrades to stig scan playbook to use more ansible builtin modules for reliability, as well as, adding additional checks and verifications to the playbook. Fixed playbook errors. AAP can now run the playbooks successfully on servers and output results to central server. Need to setup cyber accounts on SW servers and ensure it works on those.;28/Oct/25 10:34 AM;dcatapan;10800","Created a service account on all servers ""svc_ansible_runner"" which is a locked down account only usable by AAP. Configured AAP to use that account to run playbooks. Ran test playbook on all servers, no issues.;30/Oct/25 9:12 AM;dcatapan;10800",,,,,28800,0,32400,112%,28800,0,32400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dcatapan,,,,,SSWCYBER-2090,,,Done,,,,,,Sprint,,,,,"Posted on: Thu Oct 30 09:12:44 EDT 2025
AAP has been configured, eval-stig playbook has been setup. Everything should be good to automatically run eval-stig on all servers.",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i075ju:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 86,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"30/Oct/25 9:12 AM;dcatapan;AAP has been configured, eval-stig playbook has been setup. Everything should be good to automatically run eval-stig on all servers.;;;",,,,,
Plan HSIT Schedule with SW and NW: Part 1,SSWCYBER-2091,86470,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,ereyburn,ereyburn,ereyburn,08/Oct/25 1:59 PM,22/Oct/25 10:21 AM,18/Sep/26 3:20 PM,20/Oct/25 4:33 PM,,PI 14-C,,,,,,SSW PHC Cyber ,,,,0,,,ereyburn,,,,"Meeting with SW and network. We aren't at the schedule phase yet;20/Oct/25 4:33 PM;ereyburn;1800",,,,,,,14400,12600,1800,12%,14400,12600,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ereyburn,,,,,SSWCYBER-1878,,,Done,,,,,,SOS,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i07iuw:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 85,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
PI 14: STIG Compliance,SSWCYBER-2090,86468,Epic,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,High,Done,dcatapan,dcatapan,dcatapan,08/Oct/25 1:57 PM,27/Mar/26 4:53 AM,18/Sep/26 3:20 PM,15/Jan/26 10:53 AM,,PI 14-C,,,,,,SSW PHC Cyber ,,,05/Jan/26 12:00 AM,0,,,dcatapan,,,,,,,,,,,0,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD,,,,,,,,,,05/Jan/26 12:00 AM,ghx-label-2,,PI 14: STIG Compliance,Done,,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,10.0,,,,,,,,,,,,,,,,"1|i07iug:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,12.7,0.0,,,100.0,89.6,12.7,0.0,101.6,10.6,91.0,,,,,,
Cyber Requirement Tracing in Other Documents: PI14,SSWCYBER-2088,86414,Epic,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,ereyburn,ereyburn,ereyburn,08/Oct/25 8:52 AM,27/Mar/26 4:53 AM,18/Sep/26 3:20 PM,15/Jan/26 10:53 AM,,PI 14-C,,,,,,SSW PHC Cyber ,,,,0,,,ereyburn,,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,SSWCYBER-1799,,,,,,,,,,,,,,,,,,,,TBD,,,,,,,,,,,ghx-label-1,,Cyber Requirement Tracing in Other Documents: PI14,Done,,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,5.0,,,,,,,,,,,,,,,,"1|i07im8:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.8,0.0,,,100.0,78.1,0.8,0.0,6.4,1.4,5.0,,,,,,
NDS ICD Leads Review: Cyber,SSWCYBER-2085,86103,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,ereyburn,ereyburn,ereyburn,07/Oct/25 9:57 AM,22/Oct/25 10:06 AM,18/Sep/26 3:20 PM,21/Oct/25 8:49 AM,,PI 14-C,,,,,,SSW PHC Cyber ,,,24/Oct/25 12:00 AM,0,"*Action Required - Leads Review for NDS ICD starts as scheduled 10/10/2025 (Available early)*
 * Peer Review must complete by 10/24/2025
 * Cory White Will address any question until Dan Gets back on 10/10/2025
 * Please link all Jira Tasking to SSWSYSPM-2957
 * https://192.168.3.34/jira1/browse/SSWSYSPM-2957


 * During this review Cycle please communicate to GDMS and OII that we need as many of the TBD’s/TBR’s closed out in Appendix D as possible
 * GDMS and OII only need the NDS ICD PDF file and Enclosure 2


 * Adjudication will occur from 10/10/2025 to 11/07/2025.
 * Supervisor Review will start by 11/10/2025 ß FYI to those on CC

 

Leads on Review
 * *Systems Lead:* James Sevigny
 * *Interface Lead:* Douglas Marshall
 * *UMS Lead:* Meridith Kuperstein
 * *Hardware Lead:* Carlos Monino
 * *Software Lead:* Shayne Evans
 * *Test Lead:* Matt Sweeney
 * *Cyber Lead:* Elizabeth Reyburn-Payne
 * *Network Lead:* Richardson Ngaling
 * *OII Liaison:* George Moustakos

 

 

Review Folder on X Drive
 * NDS ICD PDF: \\us-ct-eb01\EBDepts\Eng.440\Projects-VA\VA SSW\CWS Working Group\CWS Share\Product Reviews\VA-SSW-NDS-ICD-001 CDR Issuance\VA-SSW-NDS-ICD-001 (0.2 Draft Release A Leads Review) 02 October 2025.pdf
 * NDS ICD BCR: \\us-ct-eb01\EBDepts\Eng.440\Projects-VA\VA SSW\CWS Working Group\CWS Share\Product Reviews\VA-SSW-NDS-ICD-001 CDR Issuance\VA-SSW-NDS-ICD-001_SCP - Baseline Comparison Report_Lead Review.pdf
 * Appended D BCR: \\us-ct-eb01\EBDepts\Eng.440\Projects-VA\VA SSW\CWS Working Group\CWS Share\Product Reviews\VA-SSW-NDS-ICD-001 CDR Issuance\Appendix - Interlock Service Data Definitions_SCP - Baseline Comparison Report_Leads.pdf
 * Enclosure 2: \\us-ct-eb01\EBDepts\Eng.440\Projects-VA\VA SSW\CWS Working Group\CWS Share\Product Reviews\VA-SSW-NDS-ICD-001 CDR Issuance\Enclosure 2 - Product Backlog for VA-SSW-NDS-ICD-001.pdf
 * Approval Letter: \\us-ct-eb01\EBDepts\Eng.440\Projects-VA\VA SSW\CWS Working Group\CWS Share\Product Reviews\VA-SSW-NDS-ICD-001 CDR Issuance\440DJO VA-SSW-NDS-ICD Letter for Approval.pdf
 * MRF Location: \\us-ct-eb01\EBDepts\Eng.440\Projects-VA\VA SSW\CWS Working Group\CWS Share\Product Reviews\VA-SSW-NDS-ICD-001 CDR Issuance\MRF

 

*+Shop Order: NDS ICD+*

 *++* 

* JIH00117YQ1029A*

 

*+Schedule for NDS ICD+*",,ereyburn,,,,";21/Oct/25 8:49 AM;ereyburn;7200",,,,,,,14400,7200,7200,50%,14400,7200,7200,,,,,,,,,,,,,,,,,,,,,SSWSYSPM-2957,,,,,,,,,,,,,,,,,,,ereyburn,,,22/Oct/25 12:00 AM,,SSWCYBER-1995,,,Done,,,,,,SOS,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i07j44:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 85,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
Review UIS008 SSP,SSWCYBER-2084,86053,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Highest,Done,dcatapan,dcatapan,dcatapan,06/Oct/25 12:10 PM,22/Oct/25 8:48 AM,18/Sep/26 3:20 PM,22/Oct/25 8:48 AM,,PI 13,,,,,,SSW PHC Cyber ,,,,0,"We have finally received a copy of an older version of the UIS008 SSP. I'd like to set aside time to review it, provide any comments, and so on.",,dcatapan,,,,"Began reviewing SSP and adding comments. Will be providing a comment log as to not spread my comments across numerous documents;14/Oct/25 4:16 PM;dcatapan;1800",";22/Oct/25 8:42 AM;dcatapan;1800",,,,,,14400,10800,3600,25%,14400,10800,3600,,,,,,,,,,SSWCYBER-2142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dcatapan,,,,,SSWCYBER-2015,,,Done,,,,,,Sprint,,,,,"Posted on: Wed Oct 22 08:48:48 EDT 2025
Closing out and taking partial credit for work completed. A part two has been created and work will be finished in sprint 86.",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i075jw:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 85,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"22/Oct/25 8:48 AM;dcatapan;Closing out and taking partial credit for work completed. A part two has been created and work will be finished in sprint 86.;;;",,,,,
Create Diagram for Future D454 Enclave Design,SSWCYBER-2083,85961,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,High,Done,dcatapan,dcatapan,dcatapan,03/Oct/25 9:15 AM,08/Jan/26 10:06 PM,18/Sep/26 3:20 PM,11/Oct/25 9:25 PM,,PI 14-K,,,,,,Environment Management,,,06/Oct/25 12:00 AM,0,"Create a cameo or similar diagram to showcase the 'final draft' design goal of the D454 enclave which includes incorporation of additional teams:
* SSW SW
* IDMS
* DSO
* Test
* Network
* SIMSTIM SBCs",,dcatapan,,,,"created a simplified diagram. I want to create another more complex // ""accurate"" one as well.;03/Oct/25 5:16 PM;dcatapan;10800",,,,,,,14400,3600,10800,75%,14400,3600,10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dcatapan,,,06/Oct/25 12:00 AM,,SSWCYBER-2350,,,Done,,,,,,Kanban,,,,,"Posted on: Fri Oct 03 17:17:01 EDT 2025
https://192.168.3.34/cnfl1/pages/viewpage.action?pageId=134256849",,,No comments by current user.,,,,,,,,adowdell,,,,,,,,,,,,,"1|i07gqo:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,0.5,,,,,,,03/Oct/25 12:00 AM,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"03/Oct/25 5:17 PM;dcatapan;https://192.168.3.34/cnfl1/pages/viewpage.action?pageId=134256849;;;",,,,,
